2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
3201,武力拔寒散,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3202,七味通痹口服液,中成药,无剂型,乙类,属于,属于,属于,非处方用药,△,先支付5%,无先支付,先支付5%
3203,二妙丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3204,湿热痹颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3205,四妙丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3206,痛风定胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3207,当归拈痛丸(颗粒),中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3208,滑膜炎片(颗粒),中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3209,痛风舒片,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3210,风湿马钱片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3211,复方风湿宁颗粒(胶囊、片、注射液),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3212,关节克痹丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3213,黑骨藤追风活络胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3214,虎力散(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3215,加味天麻胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3216,金骨莲胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3217,麝香追风膏,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3218,疏风定痛丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3219,通络骨质宁膏,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3220,正清风痛宁胶囊(片、缓释片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3221,正清风痛宁注射液,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3222,蒿白伤湿气雾剂,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3223,抗狼疮散,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3224,昆仙胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3225,雷公藤片,中成药,无剂型,甲类,属于,属于,属于,处方用药,◇,无先支付,无先支付,无先支付
3226,雷公藤多甙片,中成药,无剂型,甲类,属于,属于,属于,处方用药,◇,无先支付,无先支付,无先支付
3227,肾炎四味胶囊(片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3228,迈之灵片(马栗种子提取物片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3229,脉络舒通丸(颗粒),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3230,盘龙七片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3231,肾康注射液(限二级及以上医疗机构),中成药,无剂型,乙类,属于,属于,属于,处方用药,限二级及以上医疗机构慢性肾功能衰竭的患者,先支付10%,无先支付,先支付10%
3232,肾炎四味丸(颗粒),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3233,通络祛痛膏,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3234,瘀血痹颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3235,肾康栓,中成药,无剂型,乙类,属于,属于,属于,非处方用药,限有明确慢性肾功能衰竭诊断的患者,先支付10%,无先支付,先支付10%
3236,五苓散(胶囊、片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3237,黄葵胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3238,康肾颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3239,尿毒清颗粒,中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3240,肾炎舒颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3241,肾炎消肿片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3242,肾炎安胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3243,复方雪参胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3244,三金胶囊(片),中成药,无剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
3245,复方梅笠草片,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3246,八正颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3247,导赤丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3248,复方金钱草颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3249,复方石淋通胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3250,癃清胶囊(片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3251,泌淋颗粒(胶囊),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3252,泌淋清胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3253,尿感宁颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3254,宁泌泰胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3255,前列安栓,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3256,前列安通胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3257,前列倍喜胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3258,前列平胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3259,前列舒通胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3260,前列泰丸(颗粒、胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3261,前列通胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3262,清热通淋丸(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3263,热淋清颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3264,三金颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3265,肾安胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3266,肾复康胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3267,肾舒颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3268,翁沥通颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3269,血尿安胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3270,野菊花栓,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3271,银花泌炎灵片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3272,连参通淋片,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3273,石淋通片(冲剂),中成药,无剂型,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
3274,克淋通胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3275,泌宁胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3276,尿清舒颗粒,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3277,舒泌通胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3278,双石通淋胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3279,复方梅笠草片,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3280,癃闭舒胶囊(片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3281,尿塞通胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3282,前列癃闭通颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3283,前列舒乐颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3284,前列欣胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3285,泽桂癃爽胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3286,灵泽片,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3287,夏荔芪胶囊,中成药,无剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
3288,风湿液,中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3289,普乐安胶囊(片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3290,尪痹颗粒(胶囊、片),中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3291,萆分清丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3292,痹祺胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3293,独活寄生丸(合剂、颗粒),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3294,杜仲颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3295,金天格胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3296,前列舒丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3297,肾康宁颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3298,肾炎康复片,中成药,无剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
3299,天麻壮骨丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3300,通痹胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3301,益肾蠲痹丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
3302,壮骨伸筋胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3303,壮腰健肾丸(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
3304,海昆肾喜胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,限慢性肾功能衰竭失代偿期并在住院期间使用,先支付10%,无先支付,先支付10%
3305,慢肾宁合剂,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3306,全杜仲胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3307,仙灵脾片,中成药,无剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
3308,血脂康胶囊,中成药,无剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
3309,丹田降脂丸,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3310,丹香清脂颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3311,荷丹胶囊(片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付20%,无先支付,先支付20%
3312,化滞柔肝颗粒,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
3313,降脂灵颗粒(胶囊、片),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3314,降脂通脉胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付10%,无先支付,先支付10%
3315,绞股蓝总甙片(胶囊)/绞股蓝总苷胶囊(颗粒),中成药,无剂型,乙类,属于,属于,属于,处方用药,△,先支付20%,无先支付,先支付20%
3316,壳脂胶囊,中成药,无剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
